Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Italia
2020-12-27,43,106,312,716,972,261,274,134,718,206,50,144,103,913,510,65,91,615,85,20,880,36090
2020-12-28,0,0,6,0,0,0,955,80,108,0,0,0,0,1,0,66,218,0,0,0,0,7170
2020-12-29,0,0,0,0,0,0,492,125,106,0,0,0,0,0,0,57,244,0,0,0,0,5120
2020-12-30,0,0,0,0,0,626,1643,12,114,17,0,388,7,731,1,0,184,331,0,0,699,23765
2020-12-31,0,0,0,1471,2212,1047,5310,990,714,390,0,929,1629,3879,1637,32,883,798,322,18,3219,127400
2021-01-01,0,0,0,899,0,0,3556,145,24,0,0,6,214,1037,150,32,817,2325,273,0,1527,55025
2021-01-02,551,949,166,3615,2378,1217,6755,693,202,455,0,91,504,3538,2954,60,4833,3454,304,6,5743,192340
2021-01-03,469,902,6,3787,2764,313,5278,734,853,902,0,41,493,3057,2006,90,4765,3290,270,0,5157,175885
2021-01-04,1397,608,1069,5727,7310,1507,7468,2618,6114,1506,314,508,870,5559,4506,587,8400,5002,809,144,6735,343790
2021-01-05,1612,948,1532,7075,9359,1676,7350,2880,7860,1563,449,829,712,5368,5110,1321,10293,5193,854,151,7330,397325
2021-01-06,1823,295,944,7505,8287,716,5074,1662,7153,2189,690,59,42,3106,3949,1613,6190,4467,846,65,8135,324050
2021-01-07,1598,641,2207,8735,10269,2099,7776,3223,11751,1796,598,918,1269,5369,5725,3099,8873,5932,1300,276,8359,459065
2021-01-08,1518,554,2178,10193,10863,2321,7697,2934,12716,1567,430,1523,1453,5523,5671,3255,8044,5854,1187,300,9395,475880
2021-01-09,1472,557,2002,10304,9982,2511,6303,1334,12486,1697,450,612,190,6177,4886,4013,7168,4419,1717,443,7925,433240
2021-01-10,1136,77,940,7963,7169,2941,4066,644,10533,1732,270,2,85,5203,2348,2177,3532,2947,1065,208,5035,300365
2021-01-11,1549,183,2177,3961,9337,1882,5511,2655,16288,1161,557,1589,732,8731,3755,1181,5845,4996,1303,325,7242,404800
2021-01-12,1791,217,2077,5076,9465,2257,5370,2473,20274,1218,336,1709,506,10070,4214,865,4314,3508,834,302,5223,410495
2021-01-13,1252,916,2059,7780,9071,2650,5643,2757,26427,2069,475,1718,421,10065,4548,574,5147,3998,449,337,5985,471705
