Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Italia
2020-02-24,0,0,0,0,12,0,2,0,95,0,0,0,0,2,0,0,0,0,0,0,16,127
2020-02-25,0,0,0,0,17,0,2,1,104,0,0,1,0,2,0,0,1,2,0,0,19,149
2020-02-26,0,0,0,0,23,0,0,6,104,1,0,1,0,2,0,0,1,2,0,0,24,164
2020-02-27,1,0,0,2,42,0,0,9,213,3,0,1,0,2,1,0,1,2,0,0,27,304
2020-02-28,1,0,0,2,62,0,0,9,282,5,0,1,0,7,1,0,1,5,0,0,33,409
2020-02-29,2,0,0,3,97,0,3,5,336,8,0,1,0,7,1,0,1,7,0,0,35,506
2020-03-01,3,0,0,4,140,0,3,13,512,17,0,1,0,13,1,0,1,7,0,0,64,779
2020-03-02,3,0,0,4,164,0,3,13,605,23,0,1,0,14,2,0,2,7,0,0,67,908
2020-03-03,5,0,0,11,211,1,10,14,865,40,3,1,1,16,2,1,2,10,2,0,68,1263
2020-03-04,7,0,0,11,282,3,18,13,1086,49,3,1,1,39,4,1,5,17,2,0,99,1641
2020-03-05,8,0,1,12,359,4,27,14,1413,76,4,1,2,60,6,2,5,29,2,0,116,2141
2020-03-06,9,1,2,12,450,4,34,17,1931,93,5,4,4,87,6,2,7,40,4,0,144,2856
2020-03-07,11,1,2,16,528,8,51,32,2020,130,5,8,7,148,11,2,8,61,4,1,164,3218
2020-03-08,14,2,5,37,617,8,55,50,2616,151,6,8,9,290,20,5,18,98,4,1,193,4207
2020-03-09,25,2,8,50,666,19,63,77,3242,183,6,8,12,272,26,8,19,116,6,4,237,5049
2020-03-10,26,2,10,41,767,33,65,86,3785,206,6,18,22,372,34,9,19,131,10,2,271,5915
2020-03-11,26,2,12,67,849,21,85,108,4412,278,7,12,32,394,42,10,24,141,12,2,330,6866
2020-03-12,59,2,16,67,926,33,105,136,4852,330,7,25,48,465,60,12,33,159,16,7,445,7803
2020-03-13,56,2,21,79,1070,67,146,172,5085,422,8,25,64,691,79,12,44,211,21,6,473,8754
2020-03-14,65,2,26,89,1228,78,206,275,5630,542,8,33,80,688,97,14,53,247,32,12,485,9890
2020-03-15,100,2,38,95,1384,110,254,319,6267,619,7,54,92,897,122,16,71,282,38,13,555,11335
2020-03-16,108,3,43,125,1559,115,298,328,6994,638,8,64,92,1231,122,39,95,282,45,33,654,12876
2020-03-17,126,7,55,151,1789,125,358,384,7832,708,12,82,129,1584,169,40,114,472,57,41,719,14954
2020-03-18,140,11,56,151,2031,155,418,501,8209,757,13,97,163,2007,186,49,129,587,75,44,841,16620
2020-03-19,228,13,73,249,2160,163,471,603,8393,797,25,105,199,2536,204,52,179,679,90,56,980,18255
2020-03-20,238,13,87,171,2350,175,584,694,8785,842,26,123,232,1821,222,71,210,790,99,63,1079,18675
2020-03-21,229,19,89,320,2532,189,661,727,9351,883,27,157,272,2277,242,81,254,866,121,77,1191,20565
2020-03-22,267,23,94,342,2698,210,750,868,10581,954,31,178,281,2426,289,83,275,921,132,84,1368,22855
2020-03-23,280,27,102,376,3122,226,814,894,10449,1030,32,178,295,2537,330,94,310,1076,148,89,1487,23896
2020-03-24,291,26,109,526,3265,244,841,950,10905,1011,34,204,357,2764,374,99,310,1162,148,91,1622,25333
2020-03-25,307,34,116,441,3474,252,906,1074,11262,1086,33,230,373,2925,413,101,339,1250,167,95,1723,26601
2020-03-26,344,38,124,562,3655,266,991,1152,11944,1143,35,266,366,3041,556,112,414,1296,190,97,1773,28365
2020-03-27,360,37,125,569,3769,279,1118,1180,12429,1141,35,294,407,3283,612,112,500,1327,195,115,1874,29761
2020-03-28,381,45,129,595,4011,282,1118,1198,12471,1153,35,276,423,3533,661,117,512,1370,203,116,1903,30532
2020-03-29,397,50,143,611,4102,296,1195,1243,12941,1168,34,290,431,3428,658,128,522,1386,212,116,1941,31292
2020-03-30,391,54,148,594,4130,289,1233,1317,13145,1165,35,293,431,3437,696,137,559,1395,220,118,1989,31776
2020-03-31,408,54,149,634,4118,275,1300,1332,13207,1115,37,311,434,3626,714,141,575,1413,219,117,2036,32215
2020-04-01,413,54,160,607,4257,266,1308,1293,13269,1152,40,326,421,3599,744,146,568,1417,218,112,2068,32438
2020-04-02,416,57,182,623,4310,259,1350,1292,13113,1150,38,339,417,3794,763,141,576,1430,218,110,2015,32593
2020-04-03,437,60,200,647,4279,262,1382,1320,13183,1140,39,351,423,3752,771,146,608,1437,213,110,2049,32809
2020-04-04,425,63,193,681,4217,233,1429,1290,13328,1150,37,352,434,3891,780,147,627,1415,211,86,2015,33004
2020-04-05,414,64,187,717,4214,235,1432,1291,13326,1138,39,292,432,3916,733,151,632,1387,204,119,2003,32926
2020-04-06,406,64,184,711,4176,235,1432,1303,13257,1141,39,297,433,3922,722,149,637,1395,205,130,2036,32874
2020-04-07,404,64,183,706,4116,229,1421,1246,13138,1101,40,389,438,3985,708,148,635,1350,198,135,1876,32510
2020-04-08,393,65,185,705,4130,203,1437,1262,12976,1107,34,333,431,3916,729,143,628,1326,196,140,1839,32178
2020-04-09,363,67,183,698,4077,204,1442,1257,13032,1078,34,327,414,3926,716,131,629,1294,192,136,1804,32004
2020-04-10,358,74,182,690,3945,200,1437,1227,13079,1052,32,316,405,3891,711,133,630,1267,185,147,1778,31739
2020-04-11,369,72,184,667,3871,200,1467,1149,13200,1078,32,302,397,3819,700,137,620,1234,176,135,1716,31525
2020-04-12,400,73,179,608,3826,188,1469,1176,13145,1063,31,228,383,3810,680,135,605,1221,168,125,1677,31190
2020-04-13,405,76,172,686,3821,189,1514,1226,13171,1067,32,231,382,3723,671,134,605,1217,165,124,1672,31283
2020-04-14,397,74,173,700,3801,194,1543,1100,13199,1043,30,216,379,3762,673,131,605,1227,164,126,1660,31197
2020-04-15,385,72,167,693,3713,187,1538,1079,13117,994,31,198,360,3704,665,133,590,1193,159,123,1621,30722
2020-04-16,366,69,166,694,3676,185,1544,1060,12388,952,29,214,339,3764,661,133,573,1153,149,117,1597,29829
2020-04-17,362,68,161,698,3639,171,1519,1002,11598,933,30,213,330,3599,652,136,567,1105,142,117,1556,28598
2020-04-18,362,68,159,681,3530,168,1562,1006,10989,892,31,207,318,3594,654,135,568,1081,141,117,1477,27740
2020-04-19,357,67,148,651,3455,165,1555,986,11264,885,31,185,319,3506,650,139,563,1044,138,112,1448,27668
2020-04-20,358,66,147,647,3427,162,1573,980,11039,872,29,179,312,3600,650,136,565,1032,142,110,1453,27479
2020-04-21,353,71,140,590,3327,160,1564,1008,10656,862,29,179,292,3409,634,133,551,1004,129,107,1407,26605
2020-04-22,344,72,135,576,3246,154,1571,952,10509,811,23,176,279,3486,624,117,535,994,117,100,1368,26189
2020-04-23,353,68,136,586,3155,156,1571,874,9982,798,20,158,263,3300,591,110,510,959,119,100,1329,25138
2020-04-24,355,66,130,568,3071,152,1580,847,9547,766,20,164,252,3175,547,114,493,897,113,95,1289,24241
2020-04-25,349,65,132,598,2964,137,1604,842,9213,747,20,155,229,3175,517,114,485,853,113,89,1234,23635
2020-04-26,348,64,126,581,2940,142,1603,830,9187,726,21,152,223,3080,512,115,478,835,108,89,1221,23381
2020-04-27,351,64,120,578,2887,143,1607,837,8205,725,21,166,224,3044,500,116,475,825,106,93,1222,22309
2020-04-28,333,63,119,577,2802,149,1600,799,7935,724,19,151,204,2903,499,114,462,763,97,86,1187,21586
2020-04-29,328,55,113,549,2753,146,1575,767,7754,692,18,133,187,2839,496,104,449,715,93,83,1156,21005
2020-04-30,322,53,111,513,2352,120,1532,745,7439,513,18,139,179,2820,481,103,441,672,84,80,1126,19843
2020-05-01,313,53,108,507,2309,137,1477,734,7191,457,18,123,165,2684,467,96,429,644,73,75,1087,19147
2020-05-02,319,52,104,497,2229,136,1466,715,7074,445,10,123,157,2728,455,99,426,637,73,73,1078,18896
2020-05-03,316,51,99,485,2194,137,1441,695,7141,443,9,120,153,2665,450,102,412,625,71,76,1058,18743
2020-05-04,316,53,97,462,2167,134,1430,678,6946,433,10,113,152,2552,436,100,403,619,69,76,1056,18302
2020-05-05,300,53,96,433,2108,124,1406,651,6710,429,10,110,141,2462,423,103,393,595,67,59,1024,17697
2020-05-06,296,50,90,458,1992,118,1442,607,6559,395,9,110,129,2297,401,102,384,554,64,53,992,17102
2020-05-07,275,50,83,442,1899,111,1380,582,6328,369,8,98,110,2297,390,99,370,528,56,51,959,16485
2020-05-08,260,50,75,446,1843,107,1362,563,6102,341,6,87,105,2153,382,100,329,483,53,47,910,15804
2020-05-09,256,46,70,441,1759,104,1359,543,5865,317,8,64,97,2153,377,98,294,443,51,48,475,14868
2020-05-10,243,46,68,455,1712,101,1349,522,5776,314,9,69,92,2161,377,93,289,428,48,48,445,14645
2020-05-11,240,47,65,459,1678,99,1349,522,5738,305,11,70,95,2156,372,94,287,424,44,45,438,14538
2020-05-12,230,48,66,434,1520,98,1342,482,5544,254,14,63,89,2036,365,88,249,379,45,45,426,13817
2020-05-13,221,43,65,421,1288,94,1307,465,5314,231,10,63,85,1980,337,88,225,356,40,38,394,13065
2020-05-14,221,35,61,406,983,151,1257,443,5115,207,11,61,75,1891,320,86,215,337,27,38,368,12308
2020-05-15,211,34,58,358,877,83,1252,416,4981,196,10,55,62,1701,308,85,209,305,27,37,335,11600
2020-05-16,202,30,58,367,852,82,1232,395,4789,171,10,53,52,1662,294,85,171,300,27,33,310,11175
2020-05-17,199,30,58,359,832,83,1224,384,4735,169,13,55,49,1721,284,86,158,281,27,31,295,11073
2020-05-18,197,30,55,359,813,84,1210,383,4734,173,11,58,49,1688,276,82,150,263,26,30,285,10956
2020-05-19,194,27,52,347,769,78,1198,360,4670,161,11,52,50,1675,269,80,137,246,27,27,277,10707
2020-05-20,191,23,50,330,722,78,1193,332,4512,141,9,48,45,1609,263,78,129,223,27,26,271,10300
2020-05-21,180,16,48,321,684,74,1178,305,4345,127,10,55,46,1562,256,76,118,210,19,27,252,9909
2020-05-22,161,16,48,321,641,70,1178,288,4235,116,10,39,36,1493,250,64,113,204,18,24,227,9552
2020-05-23,160,15,44,305,608,64,1157,267,4225,115,10,40,32,1367,232,64,104,197,17,25,219,9267
